Squarewave Voltammetry Test Data
Filename:  SW_2026_08_22_0906.csv
Firmware Version:  1.4.2
Software Version:  2.7.0
Date:  8/22/2026 9:06:00 AM
DAC Zero:  2048
Test Name:  Poseidon NanoRev
Test Type:  SW
Test Settings:
Start Voltage:  -0.800 V
Stop Voltage:  0.800 V
Amplitude:  0.050 V
Frequency:  15 Hz / cycle
Start Delay:  2.0 s
Switch Delay:  0.010 s
Delay Control:  Auto
SW Test:
Mode:  Square wave
Measurement Range:  ±11.75 uA
Scan Data:,Difference 1,,Difference 2,,
Sample,Voltage (V),Current (uA),Voltage (V),Current (uA)
51,-0.3980,0.2723,-0.3980,-0.2422
52,-0.3899,0.3282,-0.3899,-0.2506
53,-0.3819,0.3078,-0.3819,-0.2784
54,-0.3739,0.2961,-0.3739,-0.3215
55,-0.3658,0.3338,-0.3658,-0.2752
56,-0.3578,0.3022,-0.3578,-0.2719
57,-0.3497,0.2825,-0.3497,-0.2902
58,-0.3417,0.2896,-0.3417,-0.2717
59,-0.3337,0.2792,-0.3337,-0.2531
60,-0.3256,0.2791,-0.3256,-0.2461
61,-0.3176,0.2725,-0.3176,-0.3000
62,-0.3095,0.3312,-0.3095,-0.2926
63,-0.3015,0.2681,-0.3015,-0.3176
64,-0.2935,0.2743,-0.2935,-0.2555
65,-0.2854,0.2740,-0.2854,-0.3107
66,-0.2774,0.3161,-0.2774,-0.2475
67,-0.2693,0.2882,-0.2693,-0.2908
68,-0.2613,0.3005,-0.2613,-0.3155
69,-0.2533,0.2964,-0.2533,-0.3069
70,-0.2452,0.3003,-0.2452,-0.3240
71,-0.2372,0.3122,-0.2372,-0.2556
72,-0.2291,0.2863,-0.2291,-0.3023
73,-0.2211,0.2756,-0.2211,-0.3078
74,-0.2131,0.2895,-0.2131,-0.2836
75,-0.2050,0.3229,-0.2050,-0.2928
76,-0.1970,0.2889,-0.1970,-0.2984
77,-0.1889,0.3333,-0.1889,-0.2781
78,-0.1809,0.2942,-0.1809,-0.3271
79,-0.1729,0.2850,-0.1729,-0.2832
80,-0.1648,0.3426,-0.1648,-0.3123
81,-0.1568,0.3216,-0.1568,-0.3156
82,-0.1487,0.2983,-0.1487,-0.3128
83,-0.1407,0.3189,-0.1407,-0.3429
84,-0.1327,0.3116,-0.1327,-0.3378
85,-0.1246,0.3442,-0.1246,-0.3385
86,-0.1166,0.3663,-0.1166,-0.3082
87,-0.1085,0.3741,-0.1085,-0.3733
88,-0.1005,0.4047,-0.1005,-0.3661
89,-0.0925,0.4742,-0.0925,-0.3700
90,-0.0844,0.5046,-0.0844,-0.4202
91,-0.0764,0.5002,-0.0764,-0.4913
92,-0.0683,0.5924,-0.0683,-0.5693
93,-0.0603,0.6829,-0.0603,-0.5955
94,-0.0523,0.7739,-0.0523,-0.6716
95,-0.0442,0.8728,-0.0442,-0.7597
96,-0.0362,1.0014,-0.0362,-0.8733
97,-0.0281,1.0651,-0.0281,-0.9849
98,-0.0201,1.1934,-0.0201,-1.1535
99,-0.0121,1.3696,-0.0121,-1.2929
100,-0.0040,1.4944,-0.0040,-1.3937
101,0.0040,1.6873,0.0040,-1.5396
102,0.0121,1.7493,0.0121,-1.6629
103,0.0201,1.8719,0.0201,-1.7323
104,0.0281,1.9945,0.0281,-1.8689
105,0.0362,2.0978,0.0362,-1.9246
106,0.0442,2.0980,0.0442,-1.9744
107,0.0523,2.1310,0.0523,-1.9956
108,0.0603,2.1274,0.0603,-1.9518
109,0.0683,2.1020,0.0683,-1.9163
110,0.0764,1.9737,0.0764,-1.8799
111,0.0844,1.9174,0.0844,-1.7393
112,0.0925,1.7622,0.0925,-1.6464
113,0.1005,1.6422,0.1005,-1.5462
114,0.1085,1.5553,0.1085,-1.4686
115,0.1166,1.4274,0.1166,-1.3331
116,0.1246,1.3084,0.1246,-1.2216
117,0.1327,1.2330,0.1327,-1.1130
118,0.1407,1.0919,0.1407,-1.0268
119,0.1487,1.0529,0.1487,-0.9802
120,0.1568,0.9228,0.1568,-0.9124
121,0.1648,0.9050,0.1648,-0.8595
122,0.1729,0.8786,0.1729,-0.7834
123,0.1809,0.7792,0.1809,-0.7884
124,0.1889,0.7526,0.1889,-0.7513
125,0.1970,0.8033,0.1970,-0.7562
126,0.2050,0.7706,0.2050,-0.6947
127,0.2131,0.7719,0.2131,-0.7670
128,0.2211,0.8453,0.2211,-0.7262
129,0.2291,0.8129,0.2291,-0.7472
130,0.2372,0.8512,0.2372,-0.7796
131,0.2452,0.9108,0.2452,-0.7978
132,0.2533,0.9400,0.2533,-0.8142
133,0.2613,0.9148,0.2613,-0.8473
134,0.2693,0.9968,0.2693,-0.9145
135,0.2774,1.0570,0.2774,-0.9834
136,0.2854,1.0461,0.2854,-0.9776
137,0.2935,1.1444,0.2935,-1.0750
138,0.3015,1.1932,0.3015,-1.1017
139,0.3095,1.1927,0.3095,-1.1092
140,0.3176,1.2643,0.3176,-1.1979
141,0.3256,1.3454,0.3256,-1.2612
142,0.3337,1.4018,0.3337,-1.2621
143,0.3417,1.4685,0.3417,-1.3454
144,0.3497,1.4673,0.3497,-1.4029
145,0.3578,1.5822,0.3578,-1.4433
146,0.3658,1.6571,0.3658,-1.5291
147,0.3739,1.7330,0.3739,-1.5586
148,0.3819,1.7773,0.3819,-1.6449
149,0.3899,1.8405,0.3899,-1.7056
150,0.3980,1.9493,0.3980,-1.7678
151,0.4060,1.9551,0.4060,-1.8910
152,0.4141,2.0391,0.4141,-1.9060
153,0.4221,2.1701,0.4221,-2.0074
154,0.4302,2.2374,0.4302,-2.0442
155,0.4382,2.3510,0.4382,-2.1418
156,0.4462,2.4409,0.4462,-2.2394
157,0.4543,2.4935,0.4543,-2.3177
158,0.4623,2.5596,0.4623,-2.3698
159,0.4704,2.6547,0.4704,-2.4470
160,0.4784,2.7902,0.4784,-2.5428
161,0.4864,2.8515,0.4864,-2.6326
162,0.4945,2.9040,0.4945,-2.7502
163,0.5025,3.0295,0.5025,-2.8437
164,0.5106,3.0928,0.5106,-2.8872
165,0.5186,3.2050,0.5186,-2.9998
166,0.5266,3.3164,0.5266,-3.0618
167,0.5347,3.4071,0.5347,-3.1233
168,0.5427,3.4758,0.5427,-3.2252
169,0.5508,3.5765,0.5508,-3.3424
170,0.5588,3.6103,0.5588,-3.4128
171,0.5668,3.7508,0.5668,-3.4361
172,0.5749,3.8450,0.5749,-3.5800
173,0.5829,3.9214,0.5829,-3.6258
174,0.5910,3.9767,0.5910,-3.6668
175,0.5990,4.0652,0.5990,-3.7471
176,0.6070,4.1047,0.6070,-3.8522
177,0.6151,4.1948,0.6151,-3.9185
178,0.6231,4.3130,0.6231,-3.9933
179,0.6312,4.3318,0.6312,-4.0406
180,0.6392,4.4490,0.6392,-4.0641
181,0.6472,4.4730,0.6472,-4.1692
182,0.6553,4.5541,0.6553,-4.2425
183,0.6633,4.6242,0.6633,-4.2462
184,0.6714,4.6157,0.6714,-4.3574
185,0.6794,4.6774,0.6794,-4.3778
186,0.6874,4.7963,0.6874,-4.4364
187,0.6955,4.8323,0.6955,-4.4912
188,0.7035,4.8596,0.7035,-4.5346
189,0.7116,4.8803,0.7116,-4.5798
190,0.7196,4.9624,0.7196,-4.6031
191,0.7276,4.9700,0.7276,-4.6426
192,0.7357,5.0407,0.7357,-4.6953
193,0.7437,5.0412,0.7437,-4.7301
194,0.7518,5.1477,0.7518,-4.7262
195,0.7598,5.1543,0.7598,-4.7632
196,0.7678,5.1611,0.7678,-4.7755
197,0.7759,5.2310,0.7759,-4.8375
198,0.7839,5.2094,0.7839,-4.8678
199,0.7920,5.2617,0.7920,-4.9162
200,0.8000,5.2970,0.8000,-4.8877
