Squarewave Voltammetry Test Data
Filename:  SW_2026_08_16_0952.csv
Firmware Version:  1.4.2
Software Version:  2.7.0
Date:  8/16/2026 9:52:00 AM
DAC Zero:  2048
Test Name:  Poseidon NanoRev
Test Type:  SW
Test Settings:
Start Voltage:  -0.800 V
Stop Voltage:  0.800 V
Amplitude:  0.050 V
Frequency:  15 Hz / cycle
Start Delay:  2.0 s
Switch Delay:  0.010 s
Delay Control:  Auto
SW Test:
Mode:  Square wave
Measurement Range:  ±11.75 uA
Scan Data:,Difference 1,,Difference 2,,
Sample,Voltage (V),Current (uA),Voltage (V),Current (uA)
50,-0.4060,0.2859,-0.4060,-0.1746
51,-0.3980,0.2782,-0.3980,-0.2385
52,-0.3899,0.3363,-0.3899,-0.1835
53,-0.3819,0.2832,-0.3819,-0.1853
54,-0.3739,0.2964,-0.3739,-0.1943
55,-0.3658,0.3271,-0.3658,-0.1855
56,-0.3578,0.3240,-0.3578,-0.1719
57,-0.3497,0.2637,-0.3497,-0.1722
58,-0.3417,0.3078,-0.3417,-0.2042
59,-0.3337,0.3278,-0.3337,-0.2356
60,-0.3256,0.2742,-0.3256,-0.1901
61,-0.3176,0.3275,-0.3176,-0.2456
62,-0.3095,0.3290,-0.3095,-0.2283
63,-0.3015,0.2790,-0.3015,-0.1897
64,-0.2935,0.2987,-0.2935,-0.2301
65,-0.2854,0.3257,-0.2854,-0.2430
66,-0.2774,0.3255,-0.2774,-0.1913
67,-0.2693,0.3335,-0.2693,-0.2199
68,-0.2613,0.2712,-0.2613,-0.2205
69,-0.2533,0.3227,-0.2533,-0.2019
70,-0.2452,0.3319,-0.2452,-0.2265
71,-0.2372,0.3399,-0.2372,-0.1927
72,-0.2291,0.3141,-0.2291,-0.2137
73,-0.2211,0.3049,-0.2211,-0.2070
74,-0.2131,0.3393,-0.2131,-0.2000
75,-0.2050,0.2687,-0.2050,-0.2520
76,-0.1970,0.2745,-0.1970,-0.1941
77,-0.1889,0.3255,-0.1889,-0.2209
78,-0.1809,0.3112,-0.1809,-0.1817
79,-0.1729,0.3418,-0.1729,-0.2019
80,-0.1648,0.3476,-0.1648,-0.2208
81,-0.1568,0.3150,-0.1568,-0.2197
82,-0.1487,0.2955,-0.1487,-0.1916
83,-0.1407,0.3047,-0.1407,-0.1884
84,-0.1327,0.3547,-0.1327,-0.2037
85,-0.1246,0.3312,-0.1246,-0.2135
86,-0.1166,0.3004,-0.1166,-0.2520
87,-0.1085,0.3449,-0.1085,-0.2679
88,-0.1005,0.3303,-0.1005,-0.2361
89,-0.0925,0.3685,-0.0925,-0.2762
90,-0.0844,0.4110,-0.0844,-0.2694
91,-0.0764,0.4388,-0.0764,-0.2664
92,-0.0683,0.4516,-0.0683,-0.3089
93,-0.0603,0.5041,-0.0603,-0.3723
94,-0.0523,0.4982,-0.0523,-0.3952
95,-0.0442,0.6076,-0.0442,-0.3773
96,-0.0362,0.6792,-0.0362,-0.4863
97,-0.0281,0.7409,-0.0281,-0.5031
98,-0.0201,0.7883,-0.0201,-0.5202
99,-0.0121,0.8738,-0.0121,-0.5806
100,-0.0040,0.9130,-0.0040,-0.6681
101,0.0040,1.0031,0.0040,-0.7174
102,0.0121,1.1186,0.0121,-0.7740
103,0.0201,1.1293,0.0201,-0.7997
104,0.0281,1.2300,0.0281,-0.7962
105,0.0362,1.2270,0.0362,-0.8676
106,0.0442,1.2689,0.0442,-0.8991
107,0.0523,1.2865,0.0523,-0.8523
108,0.0603,1.2119,0.0603,-0.9040
109,0.0683,1.1948,0.0683,-0.8565
110,0.0764,1.2236,0.0764,-0.8398
111,0.0844,1.1602,0.0844,-0.8133
112,0.0925,1.0814,0.0925,-0.7714
113,0.1005,0.9925,0.1005,-0.7291
114,0.1085,0.9639,0.1085,-0.6649
115,0.1166,0.8629,0.1166,-0.6187
116,0.1246,0.8295,0.1246,-0.5893
117,0.1327,0.7323,0.1327,-0.5469
118,0.1407,0.7490,0.1407,-0.4718
119,0.1487,0.6747,0.1487,-0.4443
120,0.1568,0.6099,0.1568,-0.3991
121,0.1648,0.6177,0.1648,-0.4105
122,0.1729,0.5431,0.1729,-0.3969
123,0.1809,0.5508,0.1809,-0.4078
124,0.1889,0.5493,0.1889,-0.3475
125,0.1970,0.5114,0.1970,-0.3599
126,0.2050,0.5387,0.2050,-0.3530
127,0.2131,0.5301,0.2131,-0.3949
128,0.2211,0.5767,0.2211,-0.3689
129,0.2291,0.5679,0.2291,-0.3560
130,0.2372,0.5502,0.2372,-0.4290
131,0.2452,0.6133,0.2452,-0.3890
132,0.2533,0.6356,0.2533,-0.3811
133,0.2613,0.6087,0.2613,-0.4347
134,0.2693,0.6147,0.2693,-0.4147
135,0.2774,0.6294,0.2774,-0.4888
136,0.2854,0.6983,0.2854,-0.4885
137,0.2935,0.7185,0.2935,-0.4501
138,0.3015,0.7249,0.3015,-0.5263
139,0.3095,0.7197,0.3095,-0.5185
140,0.3176,0.8060,0.3176,-0.5346
141,0.3256,0.7619,0.3256,-0.5931
142,0.3337,0.8493,0.3337,-0.5457
143,0.3417,0.8375,0.3417,-0.5690
144,0.3497,0.8882,0.3497,-0.5889
145,0.3578,0.9078,0.3578,-0.6312
146,0.3658,0.9237,0.3658,-0.6651
147,0.3739,0.9925,0.3739,-0.6570
148,0.3819,1.0056,0.3819,-0.7285
149,0.3899,1.0422,0.3899,-0.7172
150,0.3980,1.0444,0.3980,-0.7917
151,0.4060,1.1153,0.4060,-0.7725
152,0.4141,1.1802,0.4141,-0.7856
153,0.4221,1.1840,0.4221,-0.8429
154,0.4302,1.2599,0.4302,-0.8742
155,0.4382,1.2771,0.4382,-0.8845
156,0.4462,1.3321,0.4462,-0.9219
157,0.4543,1.3470,0.4543,-0.9691
158,0.4623,1.3849,0.4623,-0.9449
159,0.4704,1.4485,0.4704,-1.0416
160,0.4784,1.4621,0.4784,-1.0040
161,0.4864,1.5193,0.4864,-1.0675
162,0.4945,1.5803,0.4945,-1.0886
163,0.5025,1.6055,0.5025,-1.1670
164,0.5106,1.6706,0.5106,-1.1374
165,0.5186,1.7168,0.5186,-1.1817
166,0.5266,1.7430,0.5266,-1.2070
167,0.5347,1.7555,0.5347,-1.2179
168,0.5427,1.8173,0.5427,-1.2523
169,0.5508,1.8585,0.5508,-1.3246
170,0.5588,1.9319,0.5588,-1.3388
171,0.5668,1.9883,0.5668,-1.3737
172,0.5749,1.9964,0.5749,-1.4114
173,0.5829,2.0388,0.5829,-1.4264
174,0.5910,2.0915,0.5910,-1.4562
175,0.5990,2.0934,0.5990,-1.4551
176,0.6070,2.1563,0.6070,-1.5124
177,0.6151,2.1430,0.6151,-1.5440
178,0.6231,2.2529,0.6231,-1.5165
179,0.6312,2.2843,0.6312,-1.6037
180,0.6392,2.3084,0.6392,-1.6217
181,0.6472,2.2990,0.6472,-1.6116
182,0.6553,2.3155,0.6553,-1.6279
183,0.6633,2.3557,0.6633,-1.6781
184,0.6714,2.4063,0.6714,-1.7054
185,0.6794,2.3861,0.6794,-1.6671
186,0.6874,2.4574,0.6874,-1.6757
187,0.6955,2.5116,0.6955,-1.7392
188,0.7035,2.5306,0.7035,-1.7817
189,0.7116,2.5184,0.7116,-1.7771
190,0.7196,2.5020,0.7196,-1.8170
191,0.7276,2.5411,0.7276,-1.7965
192,0.7357,2.5894,0.7357,-1.7975
193,0.7437,2.6090,0.7437,-1.7820
194,0.7518,2.6080,0.7518,-1.8036
195,0.7598,2.6126,0.7598,-1.8232
196,0.7678,2.6509,0.7678,-1.8593
197,0.7759,2.6454,0.7759,-1.8541
198,0.7839,2.6779,0.7839,-1.9105
199,0.7920,2.6897,0.7920,-1.8780
200,0.8000,2.6983,0.8000,-1.9148
